Bransje_ID,Erfaring,Struktur,Driv,Samarbeid,Ekstroversjon,Skill_Match,Jobb_Hopping,IQ,Hired,Flight_Risk,Markedsverdi
1,10,9,7,10,3,57,2,120,1,1,816299
4,3,7,1,10,6,26,5,81,1,1,596949
2,13,8,10,1,4,61,2,103,0,0,886238
0,19,7,2,2,10,39,5,108,1,1,1267201
0,24,5,7,9,10,86,5,101,1,1,1225702
0,10,9,7,1,3,96,5,130,1,1,1099746
4,4,8,9,8,1,47,1,93,1,0,535412
3,16,6,8,10,5,99,4,132,1,1,1086495
1,23,8,8,7,9,74,4,127,1,1,1852781
0,12,7,3,4,8,69,4,138,1,1,999200
0,21,9,7,10,10,42,1,142,1,0,1147757
3,22,2,2,9,7,41,1,106,1,0,1243363
3,14,8,6,7,3,81,4,128,1,1,1137736
1,22,1,5,7,7,99,1,115,1,0,1587000
1,11,2,5,5,3,73,4,124,1,1,764652
2,3,7,2,10,8,21,4,132,1,1,665895
1,15,10,7,4,5,36,3,113,1,1,1078559
2,10,2,2,3,1,87,0,111,0,0,752505
3,2,5,1,9,8,57,1,118,1,0,593836
1,16,1,3,1,1,39,5,99,0,1,1638444
4,18,1,1,5,4,71,3,117,0,0,854385
2,20,1,7,4,6,68,0,92,0,0,1104734
0,5,4,7,10,1,83,5,117,1,1,977986
0,11,3,6,10,2,34,2,138,1,1,1200289
3,8,6,6,6,9,46,3,133,1,1,883977
1,11,7,9,1,1,76,3,114,1,1,1008921
1,13,1,9,10,4,94,3,102,1,1,1510606
4,0,10,6,5,6,72,2,125,0,0,591508
1,20,2,2,9,7,43,3,110,1,1,1225598
0,16,2,5,1,8,33,5,137,1,1,1112844
4,19,10,10,7,7,41,0,94,1,0,963633
1,16,7,10,3,10,77,3,88,1,1,1482959
1,8,10,3,5,8,25,5,108,1,1,1600933
2,5,7,2,9,8,56,1,95,1,0,992964
3,11,10,1,7,10,48,0,124,1,0,1130076
3,10,7,1,4,10,60,5,116,1,1,977630
1,9,10,7,6,1,67,0,113,0,0,1090895
4,6,5,8,4,8,80,3,124,0,0,608322
0,23,10,2,4,1,22,3,109,1,1,1592848
4,3,6,2,4,2,91,3,101,0,0,758238
1,24,3,5,2,10,22,2,89,1,0,1134526
4,23,2,4,3,9,21,1,116,1,0,940941
0,6,2,8,3,10,51,3,142,1,1,733537
4,21,4,4,6,9,67,5,86,1,1,1133149
1,6,1,8,8,6,100,4,121,1,1,765957
4,17,10,4,1,7,89,5,88,1,1,991154
2,20,7,3,10,3,45,1,114,1,0,1090137
4,25,4,5,10,3,32,0,119,1,0,984693
0,0,4,8,1,7,36,4,124,1,1,1054406
0,16,8,10,1,1,67,1,141,1,0,1257140
2,16,7,9,3,9,76,2,132,1,0,793646
0,2,9,7,4,10,75,2,120,1,1,999884
2,1,5,8,6,5,46,0,110,0,0,916475
2,8,5,1,8,8,79,0,134,1,0,874848
1,11,3,6,1,5,21,4,123,1,1,1703937
0,12,5,3,8,3,58,5,118,0,1,844600
0,25,4,8,2,3,92,4,140,1,1,1247066
0,2,10,8,5,8,59,3,110,1,1,682586
3,15,2,7,9,7,35,3,117,0,1,1213550
2,12,8,8,1,8,55,2,96,0,0,793791
3,15,2,4,1,2,56,2,110,0,0,856902
4,25,1,6,9,1,60,4,91,1,0,954188
4,12,2,6,2,5,50,3,121,0,0,1024061
1,6,2,9,10,3,26,1,122,1,0,1075238
0,4,9,2,9,2,23,0,114,1,0,847762
0,14,1,9,8,8,23,5,110,1,1,1282926
2,7,7,2,1,8,26,3,131,0,0,695745
3,18,10,5,2,9,63,3,105,1,1,1095113
0,18,2,7,1,1,80,1,136,1,0,1530476
0,17,3,4,7,5,92,4,120,1,1,1475268
2,19,1,3,5,10,96,2,109,0,0,1045257
0,25,7,8,8,5,79,1,147,1,0,1113394
3,10,7,1,7,4,65,4,110,1,1,788319
0,25,10,10,2,2,85,2,125,1,0,1375195
2,14,3,7,1,10,88,0,133,0,0,1113762
4,15,2,3,6,10,28,5,88,1,1,799692
1,24,4,1,10,2,86,5,128,1,1,1731211
3,9,5,5,7,6,42,1,140,1,0,894671
2,3,3,2,6,5,98,5,110,1,1,745643
4,3,4,2,8,6,81,3,88,0,0,641968
2,5,9,6,9,4,70,4,128,1,1,569608
4,5,5,9,1,8,81,5,92,0,1,662963
0,7,1,10,6,4,85,5,118,1,1,929238
0,5,9,7,2,5,68,2,133,1,1,822584
2,2,4,10,7,2,77,1,102,1,0,560047
3,8,8,4,7,6,66,3,119,1,1,1041750
2,3,1,5,9,7,62,5,104,1,1,557976
1,21,5,4,1,8,85,5,122,1,1,1193009
1,10,4,7,7,10,84,2,108,1,1,1285862
4,23,5,3,5,4,73,0,102,1,0,1035035
1,22,10,8,9,8,26,2,114,1,0,1334632
1,24,9,9,6,1,43,3,115,1,0,1194590
3,25,6,10,10,1,99,2,105,1,0,1205597
0,18,10,10,2,1,58,2,149,1,0,1340470
1,18,7,4,3,1,64,5,110,0,1,960935
2,17,4,3,3,4,56,5,97,0,1,1044138
4,7,4,5,8,10,100,1,105,1,0,882713
4,10,7,5,9,10,45,4,92,1,1,948614
1,13,4,6,7,6,88,4,98,1,1,1078838
0,14,3,9,1,2,84,5,125,1,1,1269154
1,12,4,3,8,3,55,1,102,1,0,1680996
4,5,5,8,1,1,41,2,86,0,0,863962
4,11,8,8,9,10,42,0,85,1,0,760205
2,19,9,4,6,6,23,3,96,1,0,883499
3,9,7,10,9,1,94,2,118,1,1,732073
3,25,3,5,3,5,56,3,111,1,0,1430135
2,8,4,7,8,4,72,3,134,1,0,754421
3,6,10,8,10,3,22,1,112,1,0,1103501
3,21,9,3,1,1,27,1,139,1,0,996541
3,21,9,5,6,8,88,4,110,1,1,1136879
4,8,2,5,4,5,58,2,83,0,0,688632
2,5,6,1,5,5,36,4,128,0,1,841988
3,13,2,5,2,8,49,2,95,0,0,951419
0,6,8,8,1,6,46,4,118,1,1,1026620
4,8,3,2,6,4,35,5,109,0,1,649381
2,17,1,10,4,4,24,3,107,0,0,926589
2,14,5,1,10,6,72,0,121,1,0,1045217
1,9,1,4,5,4,51,5,120,0,1,871016
3,15,7,8,1,2,62,4,109,1,1,1342908
2,6,2,1,1,8,62,0,100,0,0,698141
3,14,5,7,10,7,88,4,98,1,1,1109765
3,12,8,3,10,6,93,4,140,1,1,805421
1,11,9,9,5,4,65,5,128,1,1,924362
1,3,1,9,3,6,69,3,92,1,1,1261718
0,23,2,6,8,9,55,1,104,1,0,1356892
1,10,10,10,1,2,52,5,96,1,1,1512885
2,7,3,10,8,10,53,0,114,0,0,1000626
2,0,6,2,4,6,38,3,99,0,0,615792
3,18,9,2,5,1,22,4,127,1,1,1208319
3,8,10,3,9,6,44,3,100,1,1,1017020
4,4,10,5,4,7,30,0,99,1,0,610246
1,23,6,2,6,9,60,3,96,1,1,1105119
1,7,7,7,9,9,35,2,129,1,1,1003136
2,13,8,3,7,6,27,0,118,1,0,908817
4,14,10,4,5,10,84,1,115,1,0,931535
0,12,8,1,1,7,84,2,138,1,0,1163796
2,18,2,9,4,10,47,4,108,0,0,948769
0,9,4,1,7,3,92,0,136,1,0,787593
4,2,7,10,3,6,49,4,99,0,1,514935
3,11,9,6,2,5,53,4,102,1,1,979389
0,16,2,3,2,8,92,3,148,1,1,951701
2,12,4,10,1,4,66,4,121,0,0,961914
4,5,9,7,3,5,52,0,97,1,0,700210
2,23,3,10,2,4,84,1,105,0,0,1339059
4,25,9,6,3,2,38,1,124,1,0,1133626
3,5,6,6,4,3,84,2,138,1,1,1168115
1,14,7,8,10,5,78,1,121,1,0,1592352
1,21,6,7,3,7,55,3,93,1,1,1410318
3,3,5,5,9,8,74,3,130,1,1,918172
1,10,6,5,5,9,81,3,112,1,1,1426607
2,21,10,6,7,9,59,0,99,1,0,1041997
0,14,5,9,10,8,51,0,136,1,0,1219154
4,20,8,5,3,1,96,5,112,1,1,1123070
0,22,1,6,2,10,40,4,112,1,1,1338183
2,3,7,5,6,7,97,3,101,1,0,951018
3,16,10,7,8,4,64,4,135,1,1,1333632
3,3,2,3,10,3,55,5,138,1,1,981686
2,2,2,7,5,3,89,3,96,1,0,698840
4,24,4,6,1,9,33,4,97,1,0,1163337
3,19,9,8,5,9,97,5,136,1,1,999530
2,24,5,1,4,9,58,3,102,1,0,979398
4,19,6,9,10,1,31,0,101,1,0,917894
2,23,1,9,9,9,89,3,100,1,0,1058753
2,21,10,3,1,1,62,0,102,0,0,1098730
1,17,5,8,4,6,21,0,92,1,0,1557725
1,16,3,3,5,8,88,1,120,1,0,1760174
4,7,10,4,10,6,94,3,80,1,0,737455
0,6,6,9,9,8,32,5,110,0,1,1056001
1,5,6,3,3,4,98,3,126,0,1,922468
1,3,3,7,5,3,83,1,93,0,0,1315600
1,11,3,2,9,4,32,4,105,1,1,1078898
3,24,4,9,4,1,80,4,130,1,1,1110862
1,2,4,3,8,10,62,0,119,1,0,572355
3,13,1,5,5,6,41,5,123,0,1,995354
4,2,4,10,2,4,29,3,108,0,0,509216
0,3,9,5,9,8,30,1,103,1,0,1248494
1,19,1,8,3,1,60,3,97,1,1,1495269
3,4,10,3,6,5,60,4,107,1,1,715351
2,0,9,8,4,9,34,4,97,0,1,512154
2,7,8,5,4,9,77,0,109,1,0,840599
2,2,7,3,2,1,55,5,106,1,1,555363
3,10,5,7,5,1,46,3,96,0,1,1006124
2,21,3,2,5,2,83,0,99,1,0,895511
4,20,10,5,8,10,51,5,104,1,1,1169320
3,7,6,10,4,10,51,5,103,1,1,872644
3,21,9,2,9,2,26,3,109,1,1,1089072
3,15,7,1,9,2,30,3,122,1,1,1228826
2,4,5,5,8,9,59,0,120,1,0,695328
4,8,1,4,8,7,42,5,88,0,1,743542
3,21,3,1,4,8,62,5,133,0,1,971182
2,13,1,4,7,7,57,2,121,1,0,1059165
1,5,3,3,1,9,55,4,87,0,1,1521629
4,13,1,6,1,9,60,3,111,1,0,913974
3,0,5,4,3,8,46,2,107,1,1,736166
2,5,7,1,4,3,46,4,117,1,1,555334
2,16,4,2,7,9,54,5,94,1,1,1106135
1,22,8,4,1,10,37,5,94,1,1,1191490
3,24,4,6,10,7,34,3,132,0,0,1094894
2,18,5,9,10,6,42,0,132,1,0,1166565
0,11,9,9,1,4,72,3,108,1,1,1068892
2,0,1,1,7,2,50,1,126,1,0,474211
2,2,9,10,4,5,34,3,125,1,0,615381
1,23,4,8,4,7,67,3,97,1,1,1451298
0,10,8,9,4,3,95,1,129,1,0,896798
0,7,1,4,7,3,74,2,143,1,1,1157376
4,17,1,5,4,10,47,3,100,0,0,1110674
2,7,9,6,4,2,72,4,133,1,1,678811
1,13,8,6,5,8,87,0,97,1,0,1583680
1,24,3,5,3,5,59,5,111,1,1,1341285
1,5,7,8,6,5,87,1,102,1,0,608231
0,24,6,9,9,1,48,5,103,1,1,1206226
2,19,7,1,2,8,84,0,100,1,0,870205
4,11,8,4,1,3,77,4,91,1,1,996739
4,2,8,2,5,8,81,1,114,1,0,642647
0,7,7,4,5,8,100,3,114,1,1,799690
0,19,4,2,10,5,44,4,120,1,1,1198386
0,11,2,1,8,2,89,2,131,1,1,1098748
3,20,10,8,7,4,31,5,134,1,1,1337131
2,6,6,10,5,2,90,1,125,1,0,902145
3,6,1,4,10,3,80,4,101,0,1,1007882
0,13,7,10,4,10,91,1,109,1,0,1249531
4,25,7,8,2,5,85,2,93,1,0,1163631
3,1,9,5,7,4,100,0,134,1,0,842182
3,2,8,1,3,10,98,3,109,1,1,732113
4,6,1,3,1,5,97,1,118,0,0,609162
0,21,1,6,7,4,28,0,116,1,0,1515459
3,3,1,3,7,1,80,1,106,0,0,719888
0,17,10,7,5,5,52,2,105,1,0,1511523
4,11,5,9,9,2,69,5,111,1,1,868229
4,22,6,2,1,4,95,4,116,1,0,997645
1,17,7,1,2,1,70,1,85,0,0,1608180
1,19,1,5,6,3,34,0,113,1,0,1525217
4,20,1,4,8,8,73,1,105,1,0,1023380
4,25,1,9,8,2,72,4,99,1,0,1074496
4,21,1,2,8,5,78,0,117,1,0,1022783
4,23,10,3,6,3,81,1,96,1,0,1217795
3,2,3,10,5,1,50,2,114,0,1,590550
2,16,7,1,3,4,20,4,106,0,0,965257
3,17,9,4,5,9,21,2,135,1,0,1415369
2,16,6,4,10,9,59,0,97,1,0,1202635
4,8,10,5,9,10,70,3,92,1,0,928874
4,7,10,4,4,2,38,5,108,1,1,882268
0,24,1,5,10,2,56,2,108,1,0,1671417
1,22,2,9,10,4,27,5,95,1,1,1798981
0,13,4,6,2,6,57,5,122,1,1,989930
2,3,3,1,7,2,56,0,131,0,0,768704
4,13,5,8,8,3,56,1,83,1,0,926571
2,3,3,9,3,9,48,2,93,0,0,840136
0,20,6,3,8,6,60,1,107,1,0,1571066
3,14,9,1,4,7,68,2,112,1,0,865853
1,17,3,5,3,10,48,1,87,1,0,1831152
2,22,9,7,4,6,67,1,99,1,0,1112640
1,17,10,3,10,9,29,4,109,1,1,1172872
1,22,10,7,2,4,21,5,119,1,1,1679847
0,24,2,4,6,8,44,0,125,1,0,1520085
0,23,5,10,3,10,50,4,115,1,1,1618034
1,10,1,3,3,4,84,1,96,0,0,1513817
3,2,10,3,9,6,61,2,104,1,1,595666
1,5,6,1,5,3,46,4,130,0,1,930245
3,11,6,3,9,8,51,4,97,1,1,1201980
2,15,4,10,5,5,78,2,105,1,0,923265
0,20,9,3,4,4,95,2,125,1,0,1564856
0,12,10,6,10,5,72,0,132,1,0,1160880
3,16,3,5,4,7,54,0,105,0,0,1257870
2,23,8,9,4,10,93,5,93,1,1,1037872
0,14,4,1,9,2,85,3,142,1,1,1215076
4,8,9,1,9,5,55,4,97,1,1,795472
0,25,8,8,5,3,81,1,125,1,0,1347583
0,21,2,3,6,1,86,2,130,1,0,1502420
1,21,7,3,4,4,62,1,108,1,0,1036445
3,25,9,2,9,10,100,3,123,1,0,1277495
0,14,5,2,5,7,54,2,121,1,0,1165926
1,7,3,7,10,1,96,0,130,0,0,1035210
3,12,2,7,9,10,77,2,107,0,0,1277787
2,21,4,3,1,5,95,4,130,0,0,1319744
0,4,1,5,10,6,99,5,144,1,1,1250384
3,12,10,7,10,8,65,0,98,1,0,798410
2,17,10,7,1,10,55,4,125,0,0,1216790
2,3,7,4,3,7,63,1,110,1,0,560409
4,2,1,6,2,3,89,4,108,0,1,834374
2,22,3,2,6,6,63,4,108,0,0,1167471
1,25,2,5,7,4,86,3,120,1,0,1178702
0,17,10,9,3,8,38,2,108,1,0,1441830
1,24,4,8,8,10,50,2,109,1,0,1646784
1,8,10,2,10,5,59,1,108,0,0,1627562
2,1,4,6,3,5,71,4,120,0,1,899585
0,21,6,4,3,5,82,0,126,1,0,1088395
1,11,3,2,10,7,76,3,91,1,1,1581899
2,3,2,7,8,7,88,5,101,1,1,900957
2,16,5,6,8,6,32,3,97,1,0,804880
0,19,2,10,2,1,57,4,122,1,1,1534875
1,23,9,6,8,7,84,1,109,1,0,1444994
0,7,7,6,5,5,47,4,131,1,1,876963
0,17,5,2,9,5,23,3,122,0,1,1049052
0,22,3,10,10,8,64,3,127,1,1,1096307
0,24,1,10,4,2,76,0,115,1,0,1662322
2,9,6,9,1,6,68,5,119,1,1,671500
3,8,3,7,10,1,35,2,97,0,1,1039043
4,13,4,10,2,5,44,2,97,1,0,1027702
1,15,9,2,2,7,77,4,86,0,1,1086445
4,23,1,1,2,8,41,5,91,1,1,1223228
1,0,2,8,4,10,56,3,103,1,1,752287
3,5,8,10,7,3,99,4,134,1,1,1071285
0,12,1,5,8,1,52,4,119,0,1,1000290
1,22,4,7,6,2,63,2,117,1,0,981068
2,10,10,7,1,9,53,1,112,1,0,1068392
0,25,1,5,1,4,69,2,129,1,0,1474724
0,8,1,5,5,4,54,1,108,1,0,866790
1,18,6,7,5,9,99,5,127,1,1,1813824
4,21,4,8,4,6,55,2,125,1,0,1124848
2,23,8,6,2,6,79,1,135,1,0,1200740
0,17,7,9,2,1,44,1,148,1,0,1090849
4,19,1,2,4,3,91,2,113,1,0,839264
4,21,2,2,5,8,43,3,87,1,0,1030322
4,16,10,3,5,8,98,3,102,1,0,780515
4,18,5,7,7,9,76,0,103,1,0,1127765
2,2,2,1,1,2,71,2,113,0,0,507349
2,2,10,1,5,4,97,1,118,1,0,538017
0,16,6,3,8,4,88,3,134,1,1,1241429
2,23,10,3,7,3,22,1,134,1,0,1264514
2,2,5,10,5,1,68,3,117,1,0,564592
2,15,8,6,9,2,79,2,114,1,0,1158105
1,5,9,8,2,7,72,0,89,1,0,1532717
0,13,2,4,7,7,86,5,111,1,1,888658
1,11,4,10,1,8,92,5,119,1,1,1652078
3,20,8,2,7,7,74,2,136,1,0,1315024
1,2,2,1,7,3,97,1,122,0,0,1509464
0,17,2,10,10,3,97,5,147,1,1,1215122
3,24,10,8,6,9,53,1,128,1,0,1270172
3,0,8,8,1,5,30,5,103,1,1,819383
1,17,6,6,10,9,68,3,88,1,1,1807421
4,14,1,5,4,1,98,1,90,0,0,803180
1,6,5,7,6,6,91,1,107,0,0,1017109
2,5,10,9,2,4,34,0,123,1,0,898294
4,22,10,8,10,7,35,0,99,1,0,1209822
0,15,6,2,2,6,84,0,135,1,0,1281324
1,23,7,4,10,9,49,3,111,1,1,1560584
4,16,7,2,7,9,71,2,103,1,0,929814
2,10,10,10,2,10,87,0,128,1,0,980449
2,0,8,7,9,10,34,2,124,1,0,808838
1,19,9,7,1,1,98,5,116,1,1,1821125
3,24,8,10,2,9,47,2,135,1,0,1034894
1,13,4,7,2,8,37,4,105,1,1,1729839
2,6,4,2,7,2,75,3,114,1,0,718413
2,13,5,7,10,6,80,1,134,1,0,831014
1,0,3,1,2,9,56,3,87,0,1,572101
1,2,8,7,3,1,45,2,125,0,1,1214907
2,1,3,8,6,7,79,5,94,1,1,591686
0,0,7,9,10,2,76,3,107,1,1,1083229
3,1,4,5,5,8,75,1,134,1,0,1048397
3,7,7,10,8,10,97,0,113,1,0,1078253
0,23,9,1,2,10,39,5,121,1,1,1523668
3,15,2,5,3,4,65,4,108,0,1,881668
3,18,7,9,5,5,100,5,115,1,1,930643
2,5,5,6,7,9,24,2,93,1,0,761454
1,16,2,1,10,2,53,4,119,1,1,1543879
2,5,3,6,5,6,65,4,127,0,1,879652
2,0,9,8,2,9,57,1,118,0,0,862781
2,2,1,7,9,2,36,5,123,0,1,516455
2,16,1,5,3,5,26,5,116,0,1,1005454
0,0,1,10,5,9,82,1,106,1,0,744035
0,0,10,2,9,9,33,4,140,1,1,1015827
0,14,10,10,6,8,35,4,146,1,1,1346874
1,4,2,1,9,2,84,5,130,0,1,1309658
3,16,3,1,9,10,67,3,116,0,1,1178750
2,20,7,2,1,6,82,4,108,1,0,884080
3,21,1,2,2,8,39,1,129,1,0,1230192
4,2,9,8,3,4,51,4,83,1,1,642177
2,25,9,10,5,9,59,2,123,1,0,1015395
1,16,6,2,10,4,23,1,95,1,0,1650696
1,23,3,3,2,8,78,3,89,1,1,1545706
0,19,7,5,5,8,61,2,118,1,0,1404517
1,17,6,8,6,2,85,2,117,1,0,1733878
3,19,6,9,7,3,79,3,130,1,1,1175210
0,19,7,8,2,3,68,5,131,1,1,1188370
0,3,6,4,7,3,96,0,145,1,0,1041231
3,4,5,8,10,5,54,1,130,0,0,799696
2,3,2,1,3,7,27,4,104,0,1,703022
4,1,5,7,1,4,98,1,84,0,0,625035
1,23,2,2,7,10,27,4,114,1,1,1636745
0,20,3,6,2,4,88,1,110,1,0,1361182
2,5,8,5,10,8,79,2,94,1,0,976083
4,10,8,6,9,8,27,1,121,1,0,829645
0,23,8,2,3,4,55,2,143,1,0,1208808
3,2,3,4,3,3,74,3,124,1,1,1091995
0,14,1,8,10,3,54,0,111,1,0,1044412
3,7,10,8,1,1,37,4,133,1,1,1083686
3,25,10,9,6,8,59,4,105,1,1,1359799
1,4,2,3,2,6,64,4,118,1,1,1231809
3,18,5,9,7,3,83,0,96,1,0,1335338
3,23,3,6,1,7,87,0,130,1,0,1521507
3,7,1,1,3,6,54,4,133,0,1,816790
1,15,2,1,5,4,29,0,105,1,0,1667563
3,20,8,4,9,6,34,1,99,1,0,1392896
2,22,10,9,6,1,95,0,106,1,0,1260600
1,1,4,8,9,9,78,2,104,1,1,1324574
0,23,1,7,2,3,64,3,104,1,1,1528147
4,11,5,2,5,10,38,5,112,1,1,781576
3,3,10,8,8,2,32,3,129,1,1,1091060
1,21,3,9,10,10,63,5,129,1,1,1231337
0,18,1,4,10,5,97,2,107,1,0,1185255
0,2,7,2,5,6,58,4,148,1,1,948036
1,22,4,9,10,4,27,3,95,1,1,1859231
0,21,4,8,9,6,33,3,100,1,1,1040762
4,17,7,1,10,3,76,3,121,1,0,1131253
3,9,1,8,9,6,31,4,126,0,1,802564
3,23,2,4,1,10,40,4,136,0,1,1051805
4,5,4,10,1,4,38,1,105,0,0,840266
4,8,6,3,3,2,41,1,96,1,0,937157
0,18,1,10,2,5,65,4,145,1,1,1232646
1,16,6,10,5,1,72,0,105,1,0,1290700
1,17,5,10,3,2,99,2,113,1,0,1267647
4,7,7,2,1,10,36,1,104,0,0,718359
0,23,7,2,9,3,64,4,129,1,1,1339197
3,22,4,3,2,3,65,5,122,0,1,1238636
4,22,10,8,8,7,86,2,101,1,0,1029043
1,9,4,4,5,10,35,5,116,1,1,830573
0,22,3,1,5,10,37,1,135,1,0,1409275
3,10,1,5,10,5,95,4,123,1,1,994363
0,5,10,4,5,7,47,5,102,1,1,753755
3,20,1,3,1,7,63,1,105,0,0,989780
4,1,2,1,3,7,76,5,113,0,1,533092
2,0,9,9,1,10,60,1,92,0,0,884054
1,17,2,6,10,7,21,3,88,1,1,1783973
1,15,3,7,8,1,78,4,128,0,1,1052753
4,15,4,7,4,5,30,0,114,0,0,1025416
1,3,9,3,10,9,89,2,124,1,1,1147211
2,24,7,9,10,6,90,0,109,1,0,1015514
0,5,3,2,9,2,35,0,123,1,0,1049758
0,24,1,4,5,7,24,1,107,0,0,1368439
3,20,6,1,5,5,67,2,112,1,0,1028851
2,2,1,1,5,1,52,3,116,1,0,868714
2,13,10,8,6,9,82,1,98,1,0,838243
4,9,2,5,8,7,87,2,100,0,0,960280
1,11,6,6,9,5,32,0,117,1,0,1470724
2,6,1,1,6,3,31,5,97,1,1,926869
4,21,2,9,7,10,54,2,112,1,0,1091383
3,12,6,4,4,2,91,4,103,1,1,871935
3,18,1,5,2,3,63,5,96,0,1,1171689
0,8,8,1,10,6,57,2,110,1,1,814592
1,12,9,3,7,7,79,0,122,1,0,1403544
1,13,8,8,3,3,21,0,123,1,0,1363318
2,3,2,7,2,5,70,2,92,0,0,755158
4,22,10,5,9,10,100,5,100,1,1,1155784
4,20,9,8,7,3,76,1,105,1,0,983341
1,14,2,3,10,3,60,1,120,1,0,1733650
0,9,9,7,2,8,93,2,107,1,1,861652
0,22,5,10,5,10,27,3,150,1,1,1421589
0,4,7,6,9,6,83,3,148,1,1,1175564
1,7,4,6,10,4,34,0,98,0,0,1265023
2,3,7,6,7,10,22,2,111,0,0,544902
2,20,2,6,1,9,36,1,113,0,0,1243550
1,9,10,2,10,9,50,0,98,1,0,960656
1,21,3,5,8,1,56,2,105,1,0,1433880
3,3,10,8,2,1,58,3,99,1,1,807863
1,11,7,1,8,5,100,4,126,0,1,1298081
3,18,6,10,8,3,31,0,121,1,0,1080382
0,0,1,9,1,6,63,0,140,1,0,970842
1,20,4,3,1,3,70,5,105,1,1,1245366
3,19,6,2,5,2,97,3,118,1,1,1058851
1,19,9,8,4,9,71,1,113,1,0,1335984
0,15,7,3,4,2,41,0,136,1,0,1107584
3,3,8,10,1,10,87,5,120,1,1,790021
3,5,6,5,9,6,64,4,118,1,1,1112766
4,4,5,7,10,7,78,1,85,0,0,683450
1,3,8,3,7,8,54,5,127,1,1,1140495
4,13,7,2,2,2,23,3,110,1,0,747202
1,11,2,9,9,7,92,4,94,1,1,1500024
1,13,9,7,3,5,24,3,121,1,1,907264
4,3,1,6,6,7,35,0,96,0,0,727764
3,4,2,8,4,10,45,5,98,0,1,1153878
0,14,5,1,4,10,87,0,112,1,0,980927
4,4,7,1,8,7,22,1,111,0,0,699520
4,4,3,2,10,5,75,4,92,0,1,718760
2,20,7,10,6,3,41,0,121,1,0,921283
1,9,5,3,7,10,75,1,124,1,0,1179408
3,14,8,6,3,7,46,5,111,1,1,1128094
2,22,5,5,4,7,59,4,122,1,0,909369
1,15,7,8,10,4,68,3,116,1,1,1546141
3,13,6,7,5,2,62,2,132,1,0,823971
3,1,10,3,8,9,26,0,120,1,0,793287
4,0,9,9,4,6,54,1,114,0,0,638732
1,1,8,8,3,2,46,1,85,0,0,1272352
1,2,2,5,9,9,25,0,88,1,0,986692
1,3,4,9,5,9,85,3,106,1,1,602065
0,3,3,9,5,5,58,0,104,1,0,1243009
1,24,3,10,7,2,91,0,88,1,0,1176399
0,23,7,5,5,4,81,5,108,1,1,1167053
2,23,1,10,1,6,23,4,90,0,0,997658
3,4,1,9,6,9,27,1,131,1,0,693040
0,21,8,3,2,10,64,4,110,1,1,1576688
1,11,7,7,8,6,23,0,114,1,0,1035758
2,18,2,8,1,9,79,5,103,0,1,1021846
0,6,10,6,9,5,22,5,138,1,1,973031
