cv_text,job_desc,score,reasoning
Lagerarbeider med Lærling. Kan Salg.,Søker etter Lagerarbeider som kan Salg.,0.9,AUTO-GENERERT: Sjekket om Salg var relevant for Lagerarbeider.
Lagerarbeider med Nyutdannet. Kan React.,Søker etter Lagerarbeider som kan React.,0.9,AUTO-GENERERT: Sjekket om React var relevant for Lagerarbeider.
CTO med Nyutdannet. Kan Truckførerbevis.,Søker etter CTO som kan Truckførerbevis.,0.9,AUTO-GENERERT: Sjekket om Truckførerbevis var relevant for CTO.
Kundeservice med Lærling. Kan Truckførerbevis.,Søker etter Kundeservice som kan Truckførerbevis.,0.9,AUTO-GENERERT: Sjekket om Truckførerbevis var relevant for Kundeservice.
Kundeservice med Nyutdannet. Kan Ledelse.,Søker etter Kundeservice som kan Ledelse.,0.9,AUTO-GENERERT: Sjekket om Ledelse var relevant for Kundeservice.
Prosjektleder med 10 års erfaring. Kan Sveising.,Søker etter Prosjektleder som kan Sveising.,0.9,AUTO-GENERERT: Sjekket om Sveising var relevant for Prosjektleder.
CTO med 2 års erfaring. Kan Excel.,Søker etter CTO som kan Excel.,0.9,AUTO-GENERERT: Sjekket om Excel var relevant for CTO.
CTO med 10 års erfaring. Kan React.,Søker etter CTO som kan React.,0.9,AUTO-GENERERT: Sjekket om React var relevant for CTO.
Salgssjef med 10 års erfaring. Kan Excel.,Søker etter Salgssjef som kan Excel.,0.9,AUTO-GENERERT: Sjekket om Excel var relevant for Salgssjef.
CTO med 2 års erfaring. Kan React.,Søker etter CTO som kan React.,0.9,AUTO-GENERERT: Sjekket om React var relevant for CTO.
Frontend Utvikler med Senior. Kan Truckførerbevis.,Søker etter Frontend Utvikler som kan Truckførerbevis.,0.9,AUTO-GENERERT: Sjekket om Truckførerbevis var relevant for Frontend Utvikler.
Kundeservice med 2 års erfaring. Kan Ledelse.,Søker etter Kundeservice som kan Ledelse.,0.9,AUTO-GENERERT: Sjekket om Ledelse var relevant for Kundeservice.
Salgssjef med Nyutdannet. Kan Salg.,Søker etter Salgssjef som kan Salg.,0.9,AUTO-GENERERT: Sjekket om Salg var relevant for Salgssjef.
Frontend Utvikler med Senior. Kan Salg.,Søker etter Frontend Utvikler som kan Salg.,0.9,AUTO-GENERERT: Sjekket om Salg var relevant for Frontend Utvikler.
Lagerarbeider med Nyutdannet. Kan Python.,Søker etter Lagerarbeider som kan Python.,0.9,AUTO-GENERERT: Sjekket om Python var relevant for Lagerarbeider.
Frontend Utvikler med 10 års erfaring. Kan Salg.,Søker etter Frontend Utvikler som kan Salg.,0.9,AUTO-GENERERT: Sjekket om Salg var relevant for Frontend Utvikler.
Prosjektleder med Senior. Kan Truckførerbevis.,Søker etter Prosjektleder som kan Truckførerbevis.,0.9,AUTO-GENERERT: Sjekket om Truckførerbevis var relevant for Prosjektleder.
Prosjektleder med Senior. Kan Salg.,Søker etter Prosjektleder som kan Salg.,0.9,AUTO-GENERERT: Sjekket om Salg var relevant for Prosjektleder.
Salgssjef med Lærling. Kan Maling.,Søker etter Salgssjef som kan Maling.,0.9,AUTO-GENERERT: Sjekket om Maling var relevant for Salgssjef.
Prosjektleder med 10 års erfaring. Kan Python.,Søker etter Prosjektleder som kan Python.,0.9,AUTO-GENERERT: Sjekket om Python var relevant for Prosjektleder.
Kundeservice med 10 års erfaring. Kan Salg.,Søker etter Kundeservice som kan Salg.,0.9,AUTO-GENERERT: Sjekket om Salg var relevant for Kundeservice.
Prosjektleder med Lærling. Kan Sveising.,Søker etter Prosjektleder som kan Sveising.,0.9,AUTO-GENERERT: Sjekket om Sveising var relevant for Prosjektleder.
Frontend Utvikler med Nyutdannet. Kan Truckførerbevis.,Søker etter Frontend Utvikler som kan Truckførerbevis.,0.9,AUTO-GENERERT: Sjekket om Truckførerbevis var relevant for Frontend Utvikler.
Kundeservice med Nyutdannet. Kan Ledelse.,Søker etter Kundeservice som kan Ledelse.,0.9,AUTO-GENERERT: Sjekket om Ledelse var relevant for Kundeservice.
Prosjektleder med Senior. Kan Truckførerbevis.,Søker etter Prosjektleder som kan Truckførerbevis.,0.9,AUTO-GENERERT: Sjekket om Truckførerbevis var relevant for Prosjektleder.
CTO med 10 års erfaring. Kan Salg.,Søker etter CTO som kan Salg.,0.9,AUTO-GENERERT: Sjekket om Salg var relevant for CTO.
CTO med 10 års erfaring. Kan Maling.,Søker etter CTO som kan Maling.,0.9,AUTO-GENERERT: Sjekket om Maling var relevant for CTO.
Lagerarbeider med 2 års erfaring. Kan Excel.,Søker etter Lagerarbeider som kan Excel.,0.9,AUTO-GENERERT: Sjekket om Excel var relevant for Lagerarbeider.
CTO med 10 års erfaring. Kan Python.,Søker etter CTO som kan Python.,0.9,AUTO-GENERERT: Sjekket om Python var relevant for CTO.
Lagerarbeider med Senior. Kan React.,Søker etter Lagerarbeider som kan React.,0.9,AUTO-GENERERT: Sjekket om React var relevant for Lagerarbeider.
Lagerarbeider med Nyutdannet. Kan Maling.,Søker etter Lagerarbeider som kan Maling.,0.9,AUTO-GENERERT: Sjekket om Maling var relevant for Lagerarbeider.
Prosjektleder med Senior. Kan Maling.,Søker etter Prosjektleder som kan Maling.,0.9,AUTO-GENERERT: Sjekket om Maling var relevant for Prosjektleder.
Lagerarbeider med 2 års erfaring. Kan Maling.,Søker etter Lagerarbeider som kan Maling.,0.9,AUTO-GENERERT: Sjekket om Maling var relevant for Lagerarbeider.
CTO med Lærling. Kan Sveising.,Søker etter CTO som kan Sveising.,0.9,AUTO-GENERERT: Sjekket om Sveising var relevant for CTO.
Salgssjef med Lærling. Kan React.,Søker etter Salgssjef som kan React.,0.9,AUTO-GENERERT: Sjekket om React var relevant for Salgssjef.
Salgssjef med 10 års erfaring. Kan Excel.,Søker etter Salgssjef som kan Excel.,0.9,AUTO-GENERERT: Sjekket om Excel var relevant for Salgssjef.
"22 år, ingen formell ledererfaring. Har ledet en 'Guild' med 40 personer i World of Warcraft i 3 år. Organisert raids, håndtert konflikter og oppmøte.",Junior Team Lead for kundeservice. Trenger noen som kan holde hodet kaldt og organisere skiftplaner.,0.85,"MATCH: Ledelse i komplekse spill krever reell organisering, konflikthåndtering og stressmestring som er direkte overførbart til personalledelse."
Droppet ut av VGS. Har kodet siden 12-årsalderen. Har 5 apper på App Store og bidrar til Open Source prosjekter ukentlig.,Senior Utvikler. Krav: Mastergrad i informatikk.,0.95,MATCH: Her må vi ignorere utdanningskravet. Kandidatens praktiske resultater og lidenskap trumfer formell utdanning i dette tilfellet.
"Senior Rådgiver i DNB/Statoil i 15 år. Vant til faste rutiner, store støtteapparat og langsomme prosesser.","Daglig leder i et reklamebyrå med 4 ansatte. Høyt tempo, ingen struktur, man må gjøre alt selv.",0.3,"RISIKO: Selv om kandidaten er dyktig, er kultur-forskjellen for stor. Risiko for at vedkommende blir paralysert av mangelen på struktur."
Hullete CV. Har reist jorden rundt i 2 år. Startet egen mislykket café. Skrevet en bok.,Innovasjonsleder. Må tenke nytt og tørre å feile.,0.8,"MATCH: En 'rotete' bakgrunn indikerer her livserfaring, risikovilje og kreativitet, som er perfekt for innovasjon."
